Weapon,Class,Slot,Attachment,Factory Default,Visual Model,Internal Weapon,Internal Attachment
M2010 ESR,Sniper,Scope,Elcandr,,yes,m2010esr,elcandr
M2010 ESR,Sniper,Scope,LDS 4.50X,,yes,m2010esr,elcanlds
M2010 ESR,Sniper,Scope,Hisshd,,yes,m2010esr,hisshd
M2010 ESR,Sniper,Scope,Holosundrsth,,yes,m2010esr,holosundrsth
M2010 ESR,Sniper,Scope,Iron Sights,,yes,m2010esr,iron_sights
M2010 ESR,Sniper,Scope,M7XI,,yes,m2010esr,m7xi
M2010 ESR,Sniper,Scope,Mark4m5a2,,yes,m2010esr,mark4m5a2
M2010 ESR,Sniper,Scope,RO-M 1.75X,,yes,m2010esr,meprom22
M2010 ESR,Sniper,Scope,Nfatacr,,yes,m2010esr,nfatacr
M2010 ESR,Sniper,Scope,Nx8-1,yes,yes,m2010esr,nx8-1
M2010 ESR,Sniper,Scope,NFX 8.00X,,yes,m2010esr,nx8-4
M2010 ESR,Sniper,Scope,Osa-7 1.00X,,yes,m2010esr,opk7
M2010 ESR,Sniper,Scope,Pg350,,yes,m2010esr,pg350
M2010 ESR,Sniper,Scope,R-MR 1.00X,,yes,m2010esr,rmr
M2010 ESR,Sniper,Scope,R4T 2.00X,,yes,m2010esr,romeo4t
M2010 ESR,Sniper,Scope,ROX 1.50X,,yes,m2010esr,romeox
M2010 ESR,Sniper,Scope,Sbpmii,,yes,m2010esr,sbpmii
M2010 ESR,Sniper,Scope,Shieldcqs,,yes,m2010esr,shieldcqs
M2010 ESR,Sniper,Scope,Spitfire,,yes,m2010esr,spitfire
M2010 ESR,Sniper,Scope,Steinert536,,yes,m2010esr,steinert536
M2010 ESR,Sniper,Scope,S-VPS 6.00X,,yes,m2010esr,tango6t
M2010 ESR,Sniper,Scope,RO-M 1.75X,,yes,m2010esr,trijiconmro
M2010 ESR,Sniper,Scope,Trijiconrco,,yes,m2010esr,trijiconrco
M2010 ESR,Sniper,Scope,Trijiconreapir,,yes,m2010esr,trijiconreapir
M2010 ESR,Sniper,Scope,SDO 3.50X,,yes,m2010esr,trijiconsdo
M2010 ESR,Sniper,Scope,RO-S 1.25X,,yes,m2010esr,trijiconsro
M2010 ESR,Sniper,Scope,Trijiconvcog,,yes,m2010esr,trijiconvcog
M2010 ESR,Sniper,Scope,Vortexm157,,yes,m2010esr,vortexm157
M2010 ESR,Sniper,Scope,3VZR 1.75X,,yes,m2010esr,vzor3
M2010 ESR,Sniper,Scope,XPS3,,yes,m2010esr,xps3
M2010 ESR,Sniper,Secondary Sight,Anti Glare Coating,,,m2010esr,agcoating
M2010 ESR,Sniper,Secondary Sight,Canted Iron Sights,,yes,m2010esr,cantedironsights
M2010 ESR,Sniper,Secondary Sight,Cantedreflex,,yes,m2010esr,cantedreflex
M2010 ESR,Sniper,Secondary Sight,G43 Magnifier,,yes,m2010esr,g43magnifier
M2010 ESR,Sniper,Secondary Sight,Offsetreddot,,,m2010esr,offsetreddot
M2010 ESR,Sniper,Secondary Sight,Adjustable Magnification 2.00X,,,m2010esr,variable2x
M2010 ESR,Sniper,Secondary Sight,Adjustable Magnification 3.00X,,,m2010esr,variable3x
M2010 ESR,Sniper,Secondary Sight,Adjustable Magnification 4.00X,,,m2010esr,variable4x
M2010 ESR,Sniper,Barrel,Basic Barrel,,yes,m2010esr,basicbarrel
M2010 ESR,Sniper,Barrel,Extended Barrel,,yes,m2010esr,extendedbarrel
M2010 ESR,Sniper,Barrel,Light Barrel,yes,yes,m2010esr,lightbarrel
M2010 ESR,Sniper,Muzzle,Aactitanmb,yes,yes,m2010esr,aactitanmb
M2010 ESR,Sniper,Muzzle,Aactitan QD,,yes,m2010esr,aactitanqd
M2010 ESR,Sniper,Muzzle,Alaskan360 Suppressor,,yes,m2010esr,alaskan360suppressor
M2010 ESR,Sniper,Muzzle,Barrettam338 Suppressor,,yes,m2010esr,barrettam338suppressor
M2010 ESR,Sniper,Muzzle,Enticerlti Suppressor,,yes,m2010esr,enticerltisuppressor
M2010 ESR,Sniper,Muzzle,Lantacdragonmb,,yes,m2010esr,lantacdragonmb
M2010 ESR,Sniper,Muzzle,Sfwar Comp,,yes,m2010esr,sfwarcomp
M2010 ESR,Sniper,Muzzle,Sigtaperedmb,,yes,m2010esr,sigtaperedmb
M2010 ESR,Sniper,Muzzle,Vortex1001va3,,yes,m2010esr,vortex1001va3
M2010 ESR,Sniper,Magazine,Extended Magazine I,,,m2010esr,extended1
M2010 ESR,Sniper,Magazine,Fast Mag,,,m2010esr,fast
M2010 ESR,Sniper,Magazine,5rnd Magazine,yes,yes,m2010esr,regular
M2010 ESR,Sniper,Ammo,FMJ,yes,,m2010esr,fmj
M2010 ESR,Sniper,Ammo,Frangible,,,m2010esr,frangible
M2010 ESR,Sniper,Ammo,Match Grade,,,m2010esr,match
M2010 ESR,Sniper,Ammo,Tungsten Core,,,m2010esr,tungsten
M2010 ESR,Sniper,Bottom Rail,Atlas V8,yes,yes,m2010esr,atlas_v8
M2010 ESR,Sniper,Bottom Rail,Bcm Stubby Bolt,,yes,m2010esr,bcm_stubby_bolt
M2010 ESR,Sniper,Bottom Rail,Bottom Rail,,,m2010esr,bottomrail
M2010 ESR,Sniper,Bottom Rail,Bt Grip Pod QD Bolt,,yes,m2010esr,bt_grippod_qd_bolt
M2010 ESR,Sniper,Bottom Rail,GPS2 Bolt,,,m2010esr,gps2_bolt
M2010 ESR,Sniper,Bottom Rail,Magpul AFG2 Bolt,,yes,m2010esr,magpul_afg2_bolt
M2010 ESR,Sniper,Bottom Rail,Magpul Afg Bolt,,yes,m2010esr,magpul_afg_bolt
M2010 ESR,Sniper,Top Rail,Anpeq16b,,yes,m2010esr,anpeq16b
M2010 ESR,Sniper,Top Rail,Dbal-a3,,yes,m2010esr,dbal-a3
M2010 ESR,Sniper,Top Rail,La-23,,yes,m2010esr,la-23
M2010 ESR,Sniper,Top Rail,Mepro Sting,,yes,m2010esr,mepro_sting
M2010 ESR,Sniper,Top Rail,Perst4,,yes,m2010esr,perst4
M2010 ESR,Sniper,Top Rail,Raidxe,,yes,m2010esr,raidxe
M2010 ESR,Sniper,Top Rail,Top Rail,,,m2010esr,toprail
M2010 ESR,Sniper,Left Rail,Fn Elity,yes,yes,m2010esr,fn_elity
M2010 ESR,Sniper,Left Rail,Modulemk3,,yes,m2010esr,modulemk3
M2010 ESR,Sniper,Left Rail,Sf300,,,m2010esr,sf300
M2010 ESR,Sniper,Left Rail,Tl Missionlight,,yes,m2010esr,tl_missionlight
M2010 ESR,Sniper,Right Rail,Right Rail,,,m2010esr,rightrail
M2010 ESR,Sniper,Ergonomic,DLC Bolt,,,m2010esr,dlc_bolt
MINI SCOUT,Sniper,Scope,1p88 Variable,,yes,minifix,1p885
MINI SCOUT,Sniper,Scope,A-P2 1.75X,,yes,minifix,acrop2
MINI SCOUT,Sniper,Scope,PAS 35 3.00X,,yes,minifix,anpas35
MINI SCOUT,Sniper,Scope,Baker 3.00X,,yes,minifix,bravo3
MINI SCOUT,Sniper,Scope,BF 2M 2.50X,,,minifix,cod2m
MINI SCOUT,Sniper,Scope,CCO 2.00X,,yes,minifix,compm5b
MINI SCOUT,Sniper,Scope,Mini Flex 1.00X,,yes,minifix,eflxmini
MINI SCOUT,Sniper,Scope,Elcandr,,yes,minifix,elcandr
MINI SCOUT,Sniper,Scope,LDS 4.50X,,yes,minifix,elcanlds
MINI SCOUT,Sniper,Scope,Hisshd,,yes,minifix,hisshd
MINI SCOUT,Sniper,Scope,Holosundrsth,,yes,minifix,holosundrsth
MINI SCOUT,Sniper,Scope,Iron Sights,,yes,minifix,ironsights
MINI SCOUT,Sniper,Scope,M7XI,,yes,minifix,m7xi
MINI SCOUT,Sniper,Scope,Marchffpshorty,,yes,minifix,marchffpshorty
MINI SCOUT,Sniper,Scope,Mark4m5a2,,yes,minifix,mark4m5a2
MINI SCOUT,Sniper,Scope,RO-M 1.75X,,yes,minifix,meprom22
MINI SCOUT,Sniper,Scope,Nfatacr,,yes,minifix,nfatacr
MINI SCOUT,Sniper,Scope,Nx8-1,,yes,minifix,nx8-1
MINI SCOUT,Sniper,Scope,NFX 8.00X,,yes,minifix,nx8-4
MINI SCOUT,Sniper,Scope,Osa-7 1.00X,,yes,minifix,opk7
MINI SCOUT,Sniper,Scope,Pg350,,yes,minifix,pg350
MINI SCOUT,Sniper,Scope,R-MR 1.00X,,yes,minifix,rmr
MINI SCOUT,Sniper,Scope,R4T 2.00X,,yes,minifix,romeo4t
MINI SCOUT,Sniper,Scope,ROX 1.50X,,yes,minifix,romeox
MINI SCOUT,Sniper,Scope,Sbpmii,,yes,minifix,sbpmii
MINI SCOUT,Sniper,Scope,Shieldcqs,,yes,minifix,shieldcqs
MINI SCOUT,Sniper,Scope,Spitfire,,yes,minifix,spitfire
MINI SCOUT,Sniper,Scope,Steinert536,,yes,minifix,steinert536
MINI SCOUT,Sniper,Scope,S-VPS 6.00X,yes,yes,minifix,tango6t
MINI SCOUT,Sniper,Scope,RO-M 1.75X,,yes,minifix,trijiconmro
MINI SCOUT,Sniper,Scope,Trijiconrco,,yes,minifix,trijiconrco
MINI SCOUT,Sniper,Scope,Trijiconreapir,,yes,minifix,trijiconreapir
MINI SCOUT,Sniper,Scope,SDO 3.50X,,yes,minifix,trijiconsdo
MINI SCOUT,Sniper,Scope,RO-S 1.25X,,yes,minifix,trijiconsro
MINI SCOUT,Sniper,Scope,Trijiconvcog,,yes,minifix,trijiconvcog
MINI SCOUT,Sniper,Scope,3VZR 1.75X,,yes,minifix,vzor3
MINI SCOUT,Sniper,Scope,XPS3,,yes,minifix,xps3
MINI SCOUT,Sniper,Secondary Sight,Anti Glare Coating,,,minifix,agcoating
MINI SCOUT,Sniper,Secondary Sight,Canted Iron Sights,,yes,minifix,cantedironsights
MINI SCOUT,Sniper,Secondary Sight,Cantedreflex,,yes,minifix,cantedreflex
MINI SCOUT,Sniper,Secondary Sight,G43 Magnifier,,yes,minifix,g43magnifier
MINI SCOUT,Sniper,Secondary Sight,Offsetreddot,,,minifix,offsetreddot
MINI SCOUT,Sniper,Secondary Sight,Adjustable Magnification 2.00X,,,minifix,variable2x
MINI SCOUT,Sniper,Secondary Sight,Adjustable Magnification 3.00X,,,minifix,variable3x
MINI SCOUT,Sniper,Secondary Sight,Adjustable Magnification 4.00X,,,minifix,variable4x
MINI SCOUT,Sniper,Barrel,Basic Barrel,yes,yes,minifix,basicbarrel
MINI SCOUT,Sniper,Barrel,Extended Barrel,,yes,minifix,extendedbarrel
MINI SCOUT,Sniper,Barrel,Light Barrel,,yes,minifix,lightbarrel
MINI SCOUT,Sniper,Barrel,Short Barrel,,yes,minifix,shortbarrel
MINI SCOUT,Sniper,Muzzle,Flash Hider Q86,yes,,minifix,flashhiderq86
MINI SCOUT,Sniper,Muzzle,Hx QD Suppressor,,yes,minifix,hxqdsuppressor
MINI SCOUT,Sniper,Muzzle,Kacnt4 QD Suppressor,,yes,minifix,kacnt4qdsuppressor
MINI SCOUT,Sniper,Muzzle,Lantacdragonmb,,yes,minifix,lantacdragonmb
MINI SCOUT,Sniper,Muzzle,Qcherrybomb,,yes,minifix,qcherrybomb
MINI SCOUT,Sniper,Muzzle,Rotexv Suppressor,,yes,minifix,rotexvsuppressor
MINI SCOUT,Sniper,Muzzle,Rsmicrotactical,,yes,minifix,rsmicrotactical
MINI SCOUT,Sniper,Muzzle,Sfsocom556mb,,yes,minifix,sfsocom556mb
MINI SCOUT,Sniper,Muzzle,Sfwar Comp,,yes,minifix,sfwarcomp
MINI SCOUT,Sniper,Muzzle,Socom556rc3 Suppressor,,yes,minifix,socom556rc3suppressor
MINI SCOUT,Sniper,Magazine,Extended Magazine I,,,minifix,extended1
MINI SCOUT,Sniper,Magazine,Extended Fast Mag I,,,minifix,extended1fast
MINI SCOUT,Sniper,Magazine,Extended Magazine II,,,minifix,extended2
MINI SCOUT,Sniper,Magazine,Extended Fast Mag II,,,minifix,extended2fast
MINI SCOUT,Sniper,Magazine,Fast Mag,,,minifix,fast
MINI SCOUT,Sniper,Magazine,Standard Magazine,yes,yes,minifix,regular
MINI SCOUT,Sniper,Ammo,FMJ,yes,,minifix,fmj
MINI SCOUT,Sniper,Ammo,Frangible,,,minifix,frangible
MINI SCOUT,Sniper,Ammo,Tungsten Core,,,minifix,tungsten
MINI SCOUT,Sniper,Bottom Rail,Atlasv8bolt,,yes,minifix,atlasv8bolt
MINI SCOUT,Sniper,Bottom Rail,Bcm Stubby Bolt,,yes,minifix,bcmstubbybolt
MINI SCOUT,Sniper,Bottom Rail,Bt Grip Pod QD Bolt,,yes,minifix,btgrippodqdbolt
MINI SCOUT,Sniper,Bottom Rail,Gps2bolt,,,minifix,gps2bolt
MINI SCOUT,Sniper,Bottom Rail,Magpulafg2bolt,,yes,minifix,magpulafg2bolt
MINI SCOUT,Sniper,Bottom Rail,Magpulafgbolt,,yes,minifix,magpulafgbolt
MINI SCOUT,Sniper,Top Rail,Dbal-a3,,yes,minifix,dbal-a3
MINI SCOUT,Sniper,Top Rail,La-23,,yes,minifix,la-23
MINI SCOUT,Sniper,Top Rail,Meprosting,,yes,minifix,meprosting
MINI SCOUT,Sniper,Top Rail,Perst4,,yes,minifix,perst4
MINI SCOUT,Sniper,Top Rail,Raidxe,,yes,minifix,raidxe
MINI SCOUT,Sniper,Left Rail,Modulemk3,,yes,minifix,modulemk3
MINI SCOUT,Sniper,Right Rail,Anpeq16b,,yes,minifix,anpeq16b
MINI SCOUT,Sniper,Right Rail,Fnelity,,,minifix,fnelity
MINI SCOUT,Sniper,Right Rail,Sf300,,,minifix,sf300
MINI SCOUT,Sniper,Right Rail,Tlmissionlight,,yes,minifix,tlmissionlight
PSR,Sniper,Scope,1p88 Variable,,yes,mrad,1p885
PSR,Sniper,Scope,A-P2 1.75X,,yes,mrad,acrop2
PSR,Sniper,Scope,PAS 35 3.00X,,yes,mrad,anpas35
PSR,Sniper,Scope,Baker 3.00X,,yes,mrad,bravo3
PSR,Sniper,Scope,BF 2M 2.50X,,,mrad,cod2m
PSR,Sniper,Scope,CCO 2.00X,,yes,mrad,compm5b
PSR,Sniper,Scope,Mini Flex 1.00X,,yes,mrad,eflxmini
PSR,Sniper,Scope,Elcandr,,yes,mrad,elcandr
PSR,Sniper,Scope,LDS 4.50X,,yes,mrad,elcanlds
PSR,Sniper,Scope,Hisshd,,yes,mrad,hisshd
PSR,Sniper,Scope,Holosundrsth,,yes,mrad,holosundrsth
PSR,Sniper,Scope,Iron Sights,,yes,mrad,iron_sights
PSR,Sniper,Scope,M7XI,,yes,mrad,m7xi
PSR,Sniper,Scope,Mark4m5a2,,yes,mrad,mark4m5a2
PSR,Sniper,Scope,RO-M 1.75X,,yes,mrad,meprom22
PSR,Sniper,Scope,Nfatacr,yes,yes,mrad,nfatacr
PSR,Sniper,Scope,Nx8-1,,yes,mrad,nx8-1
PSR,Sniper,Scope,NFX 8.00X,,yes,mrad,nx8-4
PSR,Sniper,Scope,Osa-7 1.00X,,yes,mrad,opk7
PSR,Sniper,Scope,Pg350,,yes,mrad,pg350
PSR,Sniper,Scope,R-MR 1.00X,,yes,mrad,rmr
PSR,Sniper,Scope,R4T 2.00X,,yes,mrad,romeo4t
PSR,Sniper,Scope,ROX 1.50X,,yes,mrad,romeox
PSR,Sniper,Scope,Sbpmii,,yes,mrad,sbpmii
PSR,Sniper,Scope,Shieldcqs,,yes,mrad,shieldcqs
PSR,Sniper,Scope,Spitfire,,yes,mrad,spitfire
PSR,Sniper,Scope,Steinert536,,yes,mrad,steinert536
PSR,Sniper,Scope,S-VPS 6.00X,,yes,mrad,tango6t
PSR,Sniper,Scope,RO-M 1.75X,,yes,mrad,trijiconmro
PSR,Sniper,Scope,Trijiconrco,,yes,mrad,trijiconrco
PSR,Sniper,Scope,Trijiconreapir,,yes,mrad,trijiconreapir
PSR,Sniper,Scope,SDO 3.50X,,yes,mrad,trijiconsdo
PSR,Sniper,Scope,RO-S 1.25X,,yes,mrad,trijiconsro
PSR,Sniper,Scope,Trijiconvcog,,yes,mrad,trijiconvcog
PSR,Sniper,Scope,Vortexm157,,yes,mrad,vortexm157
PSR,Sniper,Scope,3VZR 1.75X,,yes,mrad,vzor3
PSR,Sniper,Scope,XPS3,,yes,mrad,xps3
PSR,Sniper,Secondary Sight,Anti Glare Coating,,,mrad,agcoating
PSR,Sniper,Secondary Sight,Canted Iron Sights,,yes,mrad,cantedironsights
PSR,Sniper,Secondary Sight,Cantedreflex,,yes,mrad,cantedreflex
PSR,Sniper,Secondary Sight,Offsetreddot,,,mrad,offsetreddot
PSR,Sniper,Secondary Sight,Secondarysight,,yes,mrad,secondarysight
PSR,Sniper,Secondary Sight,Adjustable Magnification 2.00X,,,mrad,variable2x
PSR,Sniper,Secondary Sight,Adjustable Magnification 3.00X,,,mrad,variable3x
PSR,Sniper,Secondary Sight,Adjustable Magnification 4.00X,,,mrad,variable4x
PSR,Sniper,Barrel,Basic Barrel,,yes,mrad,basicbarrel
PSR,Sniper,Barrel,Extended Barrel,yes,yes,mrad,extendedbarrel
PSR,Sniper,Muzzle,Aactitanmb,,yes,mrad,aactitanmb
PSR,Sniper,Muzzle,Aactitan QD,,yes,mrad,aactitanqd
PSR,Sniper,Muzzle,Alaskan360 Suppressor,,yes,mrad,alaskan360suppressor
PSR,Sniper,Muzzle,Am338 Suppressor,,,mrad,am338suppressor
PSR,Sniper,Muzzle,Barrett2-portmb,yes,yes,mrad,barrett2-portmb
PSR,Sniper,Muzzle,Flash Hider Yhm338 QD,,yes,mrad,flashhideryhm338qd
PSR,Sniper,Muzzle,Hx QD Magnumti Suppressor,,yes,mrad,hxqdmagnumtisuppressor
PSR,Sniper,Muzzle,Tionmb58x24,,yes,mrad,tionmb58x24
PSR,Sniper,Magazine,Compact Magazine I,,,mrad,compact1
PSR,Sniper,Magazine,Standard Magazine,yes,yes,mrad,regular
PSR,Sniper,Ammo,FMJ,yes,,mrad,fmj
PSR,Sniper,Ammo,Frangible,,,mrad,frangible
PSR,Sniper,Ammo,Match Grade,,,mrad,match
PSR,Sniper,Ammo,Tungsten Core,,,mrad,tungsten
PSR,Sniper,Bottom Rail,Atlas V8,,yes,mrad,atlas_v8
PSR,Sniper,Bottom Rail,Bcm Stubby Bolt,,yes,mrad,bcm_stubby_bolt
PSR,Sniper,Bottom Rail,Bottom Rail,,,mrad,bottom_rail
PSR,Sniper,Bottom Rail,Bt Grip Pod QD Bolt,,yes,mrad,bt_grippod_qd_bolt
PSR,Sniper,Bottom Rail,GPS2 Bolt,,,mrad,gps2_bolt
PSR,Sniper,Bottom Rail,Magpul Afg Bolt,,yes,mrad,magpul_afg_bolt
PSR,Sniper,Top Rail,Anpeq16b,,yes,mrad,anpeq16b
PSR,Sniper,Top Rail,Dbal-a3,,yes,mrad,dbal-a3
PSR,Sniper,Top Rail,La-23,,yes,mrad,la-23
PSR,Sniper,Top Rail,Mepro Sting,,yes,mrad,mepro_sting
PSR,Sniper,Top Rail,Perst4,,yes,mrad,perst4
PSR,Sniper,Top Rail,Raidxe,,yes,mrad,raidxe
PSR,Sniper,Top Rail,Top Rail,,,mrad,toprail
PSR,Sniper,Left Rail,Modulemk3,,yes,mrad,modulemk3
PSR,Sniper,Right Rail,Fn Elity,,,mrad,fn_elity
PSR,Sniper,Right Rail,Right Rail,,,mrad,rightrail
PSR,Sniper,Right Rail,Sf300,,,mrad,sf300
PSR,Sniper,Right Rail,Tl Missionlight,,yes,mrad,tl_missionlight
PSR,Sniper,Ergonomic,DLC Bolt,,,mrad,dlc_bolt
PSR,Sniper,Ergonomic,Ergonomic Grip,,,mrad,ergonomic
PSR,Sniper,Ergonomic,Improved Mag Catch,,,mrad,improved_mag_catch
SV 98,Sniper,Scope,1p88 Variable,,yes,sv98m,1p885
SV 98,Sniper,Scope,A-P2 1.75X,,yes,sv98m,acrop2
SV 98,Sniper,Scope,PAS 35 3.00X,,yes,sv98m,anpas35
SV 98,Sniper,Scope,Baker 3.00X,,yes,sv98m,bravo3
SV 98,Sniper,Scope,BF 2M 2.50X,,,sv98m,cod2m
SV 98,Sniper,Scope,CCO 2.00X,,yes,sv98m,compm5b
SV 98,Sniper,Scope,Mini Flex 1.00X,,yes,sv98m,eflxmini
SV 98,Sniper,Scope,Elcandr,,yes,sv98m,elcandr
SV 98,Sniper,Scope,LDS 4.50X,,yes,sv98m,elcanlds
SV 98,Sniper,Scope,Hisshd,,yes,sv98m,hisshd
SV 98,Sniper,Scope,Holosundrsth,,yes,sv98m,holosundrsth
SV 98,Sniper,Scope,Iron Sights,,,sv98m,ironsights
SV 98,Sniper,Scope,M7XI,,yes,sv98m,m7xi
SV 98,Sniper,Scope,Marchffpshorty,,yes,sv98m,marchffpshorty
SV 98,Sniper,Scope,Mark4m5a2,,yes,sv98m,mark4m5a2
SV 98,Sniper,Scope,RO-M 1.75X,,yes,sv98m,meprom22
SV 98,Sniper,Scope,Nfatacr,,yes,sv98m,nfatacr
SV 98,Sniper,Scope,Nx8-1,yes,yes,sv98m,nx8-1
SV 98,Sniper,Scope,NFX 8.00X,,yes,sv98m,nx8-4
SV 98,Sniper,Scope,Osa-7 1.00X,,yes,sv98m,opk7
SV 98,Sniper,Scope,Pg350,,yes,sv98m,pg350
SV 98,Sniper,Scope,R-MR 1.00X,,yes,sv98m,rmr
SV 98,Sniper,Scope,R4T 2.00X,,yes,sv98m,romeo4t
SV 98,Sniper,Scope,ROX 1.50X,,yes,sv98m,romeox
SV 98,Sniper,Scope,Sbpmii,,yes,sv98m,sbpmii
SV 98,Sniper,Scope,Shieldcqs,,yes,sv98m,shieldcqs
SV 98,Sniper,Scope,Spitfire,,yes,sv98m,spitfire
SV 98,Sniper,Scope,Steinert536,,yes,sv98m,steinert536
SV 98,Sniper,Scope,S-VPS 6.00X,,yes,sv98m,tango6t
SV 98,Sniper,Scope,RO-M 1.75X,,yes,sv98m,trijiconmro
SV 98,Sniper,Scope,Trijiconrco,,yes,sv98m,trijiconrco
SV 98,Sniper,Scope,Trijiconreapir,,yes,sv98m,trijiconreapir
SV 98,Sniper,Scope,SDO 3.50X,,yes,sv98m,trijiconsdo
SV 98,Sniper,Scope,RO-S 1.25X,,yes,sv98m,trijiconsro
SV 98,Sniper,Scope,Trijiconvcog,,yes,sv98m,trijiconvcog
SV 98,Sniper,Scope,3VZR 1.75X,,yes,sv98m,vzor3
SV 98,Sniper,Scope,XPS3,,yes,sv98m,xps3
SV 98,Sniper,Secondary Sight,Anti Glare Coating,,,sv98m,agcoating
SV 98,Sniper,Secondary Sight,Canted Iron Sights,,yes,sv98m,cantedironsights
SV 98,Sniper,Secondary Sight,Cantedreflex,,yes,sv98m,cantedreflex
SV 98,Sniper,Secondary Sight,Offsetreddot,,,sv98m,offsetreddot
SV 98,Sniper,Secondary Sight,Adjustable Magnification 2.00X,,,sv98m,variable2x
SV 98,Sniper,Secondary Sight,Adjustable Magnification 3.00X,,,sv98m,variable3x
SV 98,Sniper,Secondary Sight,Adjustable Magnification 4.00X,,,sv98m,variable4x
SV 98,Sniper,Barrel,Basic Barrel,yes,yes,sv98m,basicbarrel
SV 98,Sniper,Barrel,Extended Barrel,,yes,sv98m,extendedbarrel
SV 98,Sniper,Barrel,Light Barrel,,yes,sv98m,lightbarrel
SV 98,Sniper,Barrel,Short Barrel,,yes,sv98m,shortbarrel
SV 98,Sniper,Muzzle,Dtksv98mb,yes,,sv98m,dtksv98mb
SV 98,Sniper,Muzzle,Srvvfhmbsv98,,yes,sv98m,srvvfhmbsv98
SV 98,Sniper,Muzzle,Srvvjetmk2mb,,yes,sv98m,srvvjetmk2mb
SV 98,Sniper,Muzzle,Sv98m Suppressor,,yes,sv98m,sv98msuppressor
SV 98,Sniper,Muzzle,Thread Protector,,,sv98m,sv98threadprotector
SV 98,Sniper,Magazine,Standard Magazine,yes,yes,sv98m,regular
SV 98,Sniper,Ammo,FMJ,yes,,sv98m,fmj
SV 98,Sniper,Ammo,Frangible,,,sv98m,frangible
SV 98,Sniper,Ammo,Match Grade,,,sv98m,match
SV 98,Sniper,Ammo,Tungsten Core,,,sv98m,tungsten
SV 98,Sniper,Bottom Rail,Bcm Stubby Bolt,,yes,sv98m,bcm_stubby_bolt
SV 98,Sniper,Bottom Rail,Bipod,,yes,sv98m,bipod
SV 98,Sniper,Bottom Rail,Bt Grip Pod QD Bolt,,yes,sv98m,bt_grippod_qd_bolt
SV 98,Sniper,Bottom Rail,GPS2 Bolt,,,sv98m,gps2_bolt
SV 98,Sniper,Bottom Rail,Magpul Afg Bolt,,yes,sv98m,magpul_afg_bolt
SV 98,Sniper,Top Rail,Dbal-a3,,yes,sv98m,dbal-a3
SV 98,Sniper,Top Rail,La-23,,yes,sv98m,la-23
SV 98,Sniper,Top Rail,Mepro Sting,,yes,sv98m,mepro_sting
SV 98,Sniper,Top Rail,Perst4,,yes,sv98m,perst4
SV 98,Sniper,Top Rail,Raidxe,,yes,sv98m,raidxe
SV 98,Sniper,Top Rail,Top Rail,,,sv98m,toprail
SV 98,Sniper,Left Rail,Modulemk3,,yes,sv98m,modulemk3
SV 98,Sniper,Right Rail,Anpeq16b,,yes,sv98m,anpeq16b
SV 98,Sniper,Right Rail,Fn Elity,,,sv98m,fn_elity
SV 98,Sniper,Right Rail,Right Rail,,,sv98m,rightrail
SV 98,Sniper,Right Rail,Sf300,,,sv98m,sf300
SV 98,Sniper,Right Rail,Tl Missionlight,,yes,sv98m,tl_missionlight
SV 98,Sniper,Ergonomic,DLC Bolt,,,sv98m,dlc_bolt
SV 98,Sniper,Ergonomic,Improved Mag Catch,,,sv98m,improved_mag_catch
AK 205,Carbine,Scope,A-P2 1.75X,,yes,ak205,acrop2
AK 205,Carbine,Scope,PAS 35 3.00X,,yes,ak205,anpas35
AK 205,Carbine,Scope,Baker 3.00X,yes,yes,ak205,bravo3
AK 205,Carbine,Scope,BF 2M 2.50X,,,ak205,cod2m
AK 205,Carbine,Scope,CCO 2.00X,,yes,ak205,compm5b
AK 205,Carbine,Scope,Mini Flex 1.00X,,yes,ak205,eflxmini
AK 205,Carbine,Scope,Elcandr,,yes,ak205,elcandr
AK 205,Carbine,Scope,LDS 4.50X,,yes,ak205,elcanlds
AK 205,Carbine,Scope,Holosundrsth,,yes,ak205,holosundrsth
AK 205,Carbine,Scope,Iron Sights,,,ak205,iron_sights
AK 205,Carbine,Scope,Marchffpshorty,,yes,ak205,marchffpshorty
AK 205,Carbine,Scope,RO-M 1.75X,,yes,ak205,meprom22
AK 205,Carbine,Scope,Osa-7 1.00X,,yes,ak205,opk7
AK 205,Carbine,Scope,Pg350,,yes,ak205,pg350
AK 205,Carbine,Scope,R-MR 1.00X,,yes,ak205,rmr
AK 205,Carbine,Scope,R4T 2.00X,,yes,ak205,romeo4t
AK 205,Carbine,Scope,ROX 1.50X,,yes,ak205,romeox
AK 205,Carbine,Scope,Shieldcqs,,yes,ak205,shieldcqs
AK 205,Carbine,Scope,Spitfire,,yes,ak205,spitfire
AK 205,Carbine,Scope,Steinert536,,yes,ak205,steinert536
AK 205,Carbine,Scope,RO-M 1.75X,,yes,ak205,trijiconmro
AK 205,Carbine,Scope,Trijiconrco,,yes,ak205,trijiconrco
AK 205,Carbine,Scope,Trijiconreapir,,yes,ak205,trijiconreapir
AK 205,Carbine,Scope,SDO 3.50X,,yes,ak205,trijiconsdo
AK 205,Carbine,Scope,RO-S 1.25X,,yes,ak205,trijiconsro
AK 205,Carbine,Scope,3VZR 1.75X,,yes,ak205,vzor3
AK 205,Carbine,Scope,XPS3,,yes,ak205,xps3
AK 205,Carbine,Secondary Sight,Canted Iron Sights,,yes,ak205,cantedironsights
